,f1,f2,f4,f25,f26,f27
6351,40,13,4,0,10,10
493,62,22,2,0,3,3
569,23,11,1,1,1,0
1485,210,13,2,1,76,0
8496,75,67,9,0,4,4
1048,25,16,2,1,0,0
244,45,36,4,1,3,3
8433,70,10,3,0,3,0
2590,57,15,3,0,0,0
10052,98,16,2,1,11,0
1399,64,19,2,0,0,0
5716,30,23,2,0,3,3
485,26,17,2,1,0,0
9467,80,16,2,0,3,0
4108,25,18,2,0,2,2
4471,126,50,4,1,28,0
2038,19,12,1,0,0,0
6396,73,15,3,0,0,0
5691,25,16,2,1,0,0
5653,221,13,6,0,46,0
1242,31,24,2,0,0,0
4049,47,16,3,1,0,0
4494,23,14,2,1,0,0
2434,46,24,2,0,0,0
717,76,21,3,0,0,0
3827,41,32,2,1,0,0
6006,79,19,2,0,0,0
10593,44,22,2,0,2,2
14,25,16,2,1,0,0
7400,66,17,4,0,0,0
2352,28,19,3,1,0,0
6932,45,16,2,1,0,0
10783,48,20,3,1,8,0
6727,127,18,2,1,21,0
5436,66,14,2,0,0,0
6972,123,46,5,1,19,0
4371,49,15,3,0,1,0
1690,61,12,3,0,7,0
7270,58,17,4,0,5,0
4834,24,15,2,1,0,0
4230,54,12,1,0,0,0
473,37,28,2,1,0,0
1364,42,13,3,0,0,0
4859,52,20,3,0,0,0
1767,21,12,2,1,0,0
5873,32,16,2,1,0,0
4628,65,25,6,1,3,3
8820,32,6,2,1,2,2
8394,28,15,2,0,0,0
9262,38,29,2,1,5,5
3665,164,30,6,1,33,0
7196,57,48,4,1,9,9
4846,81,27,2,0,15,0
5684,26,18,2,0,0,0
388,29,21,2,0,0,0
8643,20,13,2,0,0,0
2491,51,18,2,1,2,2
458,45,15,2,0,0,0
9332,76,34,2,0,0,0
6009,57,16,3,1,0,0
11400,41,16,2,1,0,0
9263,36,29,2,0,0,0
2420,97,26,2,1,0,0
8302,46,16,2,1,0,0
9208,40,16,1,0,0,0
7035,27,19,2,0,0,0
1420,100,38,2,0,0,0
7222,86,27,3,1,2,0
1245,39,14,4,0,1,0
828,54,14,2,0,13,0
2504,388,33,3,1,65,0
9680,30,13,2,1,0,0
6015,66,14,1,0,0,0
3924,31,23,2,0,0,0
863,69,29,4,0,5,0
9,104,10,1,1,8,0
6048,92,36,2,1,8,0
4105,77,23,3,0,6,0
8863,27,19,2,0,0,0
5366,121,21,2,0,9,0
7039,30,22,2,0,0,0
9200,45,29,2,1,22,15
2507,47,21,3,1,0,0
9319,44,24,2,0,1,0
4947,37,10,2,0,1,0
681,172,20,6,0,43,0
5408,33,14,2,1,2,1
4922,49,31,4,1,10,10
5748,32,23,2,1,0,0
10733,65,15,4,1,15,0
422,97,21,3,1,4,0
5262,55,13,1,1,0,0
5593,20,13,2,0,0,0
5784,36,29,2,0,0,0
8448,67,23,3,0,12,0
3832,33,26,2,0,1,1
1125,127,50,4,1,16,0
3915,63,16,2,0,0,0
5980,22,13,2,1,0,0
2367,105,18,2,1,9,0
5153,550,25,5,1,194,0
5712,70,21,3,1,0,0
1963,13,6,1,0,0,0
10678,61,14,3,0,3,0
439,47,15,3,0,0,0
6216,164,24,2,0,10,0
9313,19,10,1,1,0,0
2317,25,17,2,0,0,0
11199,36,15,3,0,0,0
6960,48,27,2,1,0,0
8907,37,20,3,0,0,0
2642,24,12,2,0,0,0
10270,45,10,1,0,0,0
2680,41,14,3,0,0,0
5363,98,24,7,1,1,0
4036,226,21,3,0,106,4
3439,79,23,2,1,4,0
3393,35,13,3,0,0,0
3973,37,28,2,1,0,0
11117,77,23,1,0,22,0
8684,64,36,5,0,3,3
10227,39,16,2,1,0,0
6772,138,13,2,0,45,0
679,68,12,3,0,7,0
4960,128,50,4,1,19,0
7187,29,20,2,1,0,0
3449,43,12,4,1,0,0
5688,31,23,2,0,0,0
11259,43,17,2,1,0,0
7359,71,25,2,1,0,0
3682,50,15,2,0,0,0
11120,48,12,1,0,0,0
7532,103,14,3,1,1,0
1187,46,18,1,1,0,0
1135,81,18,3,0,1,0
786,48,13,3,0,0,0
856,51,26,2,0,0,0
7459,23,6,1,0,7,0
1229,26,17,2,1,0,0
9396,65,36,3,0,0,0
3696,66,17,3,0,6,0
2064,89,23,3,1,14,0
8861,44,21,3,0,0,0
6529,142,25,5,1,18,0
9213,128,50,4,1,14,0
7769,56,30,2,0,0,0
11010,95,13,3,0,12,0
9866,50,31,3,0,0,0
9942,38,14,2,0,0,0
9384,32,23,2,1,0,0
9250,23,15,1,1,0,0
8249,89,11,2,0,0,0
8781,41,17,2,1,0,0
4385,73,12,5,0,9,9
10073,85,61,3,0,22,22
2634,39,15,2,1,0,0
4203,51,17,3,1,0,0
1979,82,17,2,1,0,0
1735,132,16,3,1,13,0
2327,57,16,2,1,0,0
9644,30,22,2,0,1,1
6417,47,19,2,0,0,0
106,30,21,3,1,0,0
11165,53,23,2,1,0,0
3767,23,16,2,0,0,0
6352,48,18,2,1,0,0
2331,19,11,2,0,3,3
7002,39,27,2,0,9,9
1016,91,19,2,1,2,0
1545,110,23,3,0,4,0
3235,57,20,3,1,1,0
10488,33,14,2,1,2,0
2328,55,21,3,0,4,0
10532,84,24,3,0,0,0
1989,29,22,2,0,2,2
10788,25,17,2,0,0,0
6033,24,16,2,0,0,0
9587,28,21,2,0,0,0
363,41,30,2,0,0,0
1584,72,28,3,0,0,0
4654,54,17,2,1,10,0
6821,37,28,2,1,0,0
6103,43,24,1,0,0,0
9991,35,18,3,0,0,0
5466,55,8,4,0,4,0
10078,42,13,4,0,11,10
3234,26,17,2,1,0,0
8629,61,15,3,1,1,0
6004,88,14,2,1,0,0
3568,109,7,1,1,6,0
7711,28,16,2,1,1,0
2437,61,16,2,0,0,0
5505,73,22,2,0,0,0
1440,41,18,3,0,0,0
8012,62,22,3,0,0,0
4147,30,22,2,0,0,0
8105,58,15,2,0,0,0
4130,23,16,2,0,1,1
8176,52,18,3,0,3,0
2178,100,18,3,1,12,0
3034,61,17,1,0,0,0
4921,32,23,2,1,0,0
7093,142,34,2,1,4,0
479,48,24,3,1,0,0
4095,99,16,2,0,0,0
10113,86,36,3,0,2,2
9501,206,12,4,0,36,9
5528,58,17,3,1,3,0
1320,23,16,2,0,0,0
4043,21,14,2,0,0,0
10626,84,17,2,0,2,0
10457,33,25,2,0,0,0
4055,98,26,2,0,25,0
641,66,20,3,1,0,0
3901,62,19,2,1,0,0
10379,34,25,2,1,5,5
7261,39,16,2,1,0,0
4865,22,13,1,1,0,0
9539,30,18,1,0,0,0
607,34,15,1,0,0,0
7499,43,14,3,0,11,11
8439,66,20,2,0,0,0
9270,58,0,1,0,6,0
9652,31,24,2,0,0,0
4199,63,17,2,0,0,0
8442,260,211,13,0,45,40
6952,27,19,2,0,0,0
4160,119,11,3,0,0,0
9829,22,14,2,0,0,0
6361,37,28,2,1,0,0
5971,119,25,1,1,11,0
3493,33,24,2,1,0,0
10449,21,12,2,1,0,0
10063,65,43,2,0,5,5
6047,63,15,2,1,7,0
10606,46,24,2,0,0,0
2156,58,28,2,0,0,0
2033,41,11,2,0,0,0
3183,40,12,1,0,0,0
10061,57,21,2,0,4,0
6847,54,21,2,0,0,0
11204,41,16,3,0,7,0
5160,34,25,2,1,6,6
799,66,13,2,1,18,0
9103,127,50,4,1,22,0
5663,100,25,2,1,10,0
7618,35,16,2,1,0,0
3970,24,16,2,0,0,0
8238,22,14,3,0,11,11
4747,131,22,2,1,50,0
6749,23,15,2,0,0,0
3859,27,17,2,0,0,0
6502,84,17,3,0,3,0
3879,62,18,2,0,0,0
6619,77,23,1,0,15,0
7191,54,46,4,0,9,9
1589,42,28,1,0,0,0
10414,30,22,3,0,2,2
9423,58,16,2,1,0,0
1128,49,23,2,0,0,0
1639,52,14,3,1,3,0
335,34,26,2,0,0,0
3340,41,32,2,1,0,0
10957,28,20,2,0,0,0
718,21,12,2,1,0,0
2377,68,9,1,1,8,0
9334,52,13,1,0,5,0
4506,93,14,2,1,6,0
57,112,31,2,0,0,0
8760,52,18,2,1,0,0
8034,47,11,1,1,2,0
216,29,21,2,0,0,0
10659,97,17,3,1,5,0
6438,41,24,3,0,0,0
6989,32,24,1,0,0,0
605,39,22,1,1,0,0
9975,40,17,1,0,0,0
4476,22,14,2,0,1,1
7529,35,11,2,1,0,0
10472,47,38,4,1,6,6
9978,38,17,1,0,0,0
2851,50,20,3,1,0,0
11081,72,20,2,1,1,0
1941,64,36,3,0,0,0
7731,44,20,2,1,0,0
8740,88,27,5,0,1,0
8655,45,22,3,0,0,0
9984,35,22,2,0,0,0
4543,139,27,2,1,10,0
3335,45,16,2,1,0,0
1444,1386,14,13,0,269,0
10069,28,21,2,0,1,1
5806,27,13,2,0,3,3
9882,52,24,3,0,0,0
343,74,17,2,0,7,0
1267,33,12,1,0,0,0
9616,35,26,2,1,1,1
962,66,41,6,0,17,17
8938,20,11,2,1,0,0
8570,26,13,1,0,0,0
3202,84,11,1,1,21,0
8384,26,14,2,1,0,0
2164,45,17,2,0,0,0
10095,64,23,2,1,9,0
2066,37,16,2,0,0,0
6477,78,37,3,0,0,0
8123,28,19,2,1,0,0
10147,257,11,6,1,35,0
6399,53,18,3,0,0,0
6062,96,14,2,0,19,0
6946,55,25,3,0,0,0
2078,92,22,2,0,18,0
9089,66,15,4,1,0,0
10216,35,18,1,1,0,0
2103,31,13,3,1,0,0
10116,118,28,2,1,16,0
9205,38,13,2,0,0,0
872,59,21,3,0,5,0
9765,91,25,2,0,2,0
3556,37,18,2,1,0,0
2629,25,16,2,1,0,0
10949,69,19,4,0,2,0
2945,57,16,2,1,0,0
11237,22,13,2,1,0,0
7347,68,14,2,1,8,0
7267,63,20,3,0,6,0
8795,37,22,2,0,0,0
9500,63,27,2,0,10,0
9729,36,9,1,0,0,0
11155,56,31,2,0,0,0
3123,101,18,2,1,26,0
9697,42,22,2,0,0,0
11005,276,24,3,1,57,1
10276,30,21,2,1,0,0
6372,39,20,3,0,1,0
6467,26,19,2,0,0,0
401,47,18,4,0,0,0
7308,28,13,2,1,0,0
4177,45,21,2,0,0,0
9691,89,20,2,0,2,0
7486,78,15,3,0,9,0
792,57,23,2,1,2,0
9156,31,23,2,0,0,0
10085,34,27,2,0,0,0
6645,28,20,2,0,0,0
6321,32,9,2,0,0,0
4269,86,11,2,1,7,0
8115,35,27,2,0,0,0
8018,22,13,2,1,0,0
8942,99,15,2,1,8,0
2472,79,24,7,1,1,0
74,59,17,3,0,4,0
3840,27,11,2,0,0,0
9761,25,11,1,1,0,0
9968,32,25,2,0,1,1
1260,36,19,2,0,0,0
2667,26,18,2,0,0,0
10943,71,38,5,0,6,6
6930,78,17,3,0,3,0
8235,33,12,2,0,7,0
6593,66,45,6,0,17,17
4771,123,34,4,0,9,1
4815,138,13,2,0,44,0
660,57,17,2,1,2,0
2014,62,23,3,1,0,0
3866,28,19,2,1,0,0
9545,299,31,15,0,52,0
73,62,13,5,0,0,0
3674,69,23,3,0,4,0
5938,75,18,2,1,0,0
4470,26,17,2,1,0,0
5163,44,16,2,1,0,0
2979,69,21,3,0,0,0
9039,95,23,3,0,4,0
4712,41,14,1,0,0,0
7203,128,9,1,1,6,0
6373,28,15,2,0,1,0
8136,62,24,3,0,4,0
6762,56,38,5,1,6,6
2952,98,27,4,1,3,0
1056,28,19,2,1,0,0
260,52,16,2,1,0,0
1643,73,16,3,0,6,0
7624,47,7,1,1,3,1
1492,53,28,5,0,9,9
7796,46,11,1,0,0,0
9897,71,20,3,0,4,0
9649,127,50,4,0,15,0
7476,69,20,2,0,0,0
3259,29,20,2,1,0,0
8775,73,28,2,1,12,4
380,102,15,4,0,25,0
9656,303,15,3,1,87,0
2644,39,17,2,0,0,0
3021,33,11,2,1,0,0
1336,30,11,2,0,0,0
11182,81,27,2,0,21,0
3849,106,17,3,0,32,0
10679,476,13,24,0,40,10
1649,49,28,1,0,0,0
9453,29,20,2,1,0,0
1021,41,16,2,1,0,0
8934,85,17,2,0,6,0
2239,23,15,2,0,0,0
11022,46,19,2,0,0,0
637,18,4,1,0,1,0
790,101,37,2,0,21,0
316,30,17,2,1,0,0
9932,37,23,2,0,4,0
2630,35,26,2,1,0,0
5935,77,20,3,0,0,0
176,94,42,3,0,12,3
10585,60,42,4,0,3,3
4113,43,11,2,0,0,0
10657,44,14,3,0,7,0
516,24,17,2,0,0,0
8106,34,25,2,1,0,0
10816,26,18,2,0,0,0
266,85,14,2,1,8,0
2368,47,21,2,0,6,6
9210,25,16,2,1,0,0
5517,66,15,3,0,9,0
9515,42,25,3,0,2,2
2269,48,16,2,1,0,0
617,31,24,2,0,1,1
6258,31,22,2,1,0,0
8042,126,61,3,0,43,22
7868,98,11,1,0,12,0
3667,75,16,2,0,0,0
4945,69,23,2,0,8,0
10698,76,50,4,0,7,0
4755,133,11,3,1,0,0
8371,61,21,2,0,0,0
2372,38,23,2,0,4,0
1004,92,22,1,0,28,0
1728,62,41,2,0,0,0
5416,31,22,1,1,2,2
11325,45,17,2,1,0,0
4813,90,17,3,0,13,0
7115,84,12,2,0,0,0
4621,27,10,1,0,0,0
1171,73,14,3,0,11,0
11380,30,21,3,1,0,0
10665,73,44,5,1,0,0
6660,25,18,2,0,0,0
6237,89,19,1,1,2,0
2313,46,13,3,0,0,0
5871,21,14,1,0,1,1
3884,29,11,1,1,0,0
4382,33,25,2,0,0,0
10331,63,21,2,1,0,0
9987,61,20,2,0,27,0
3943,37,20,1,1,3,0
3128,31,24,2,0,0,0
6049,29,21,2,0,0,0
5120,44,9,2,0,0,0
1194,116,42,4,0,19,0
7218,35,27,2,0,4,4
4063,202,13,2,1,76,0
4887,61,22,3,0,0,0
2023,36,25,2,0,8,8
6716,26,11,1,1,1,0
8620,63,13,1,1,3,0
7544,74,12,2,0,0,0
8659,27,19,2,0,0,0
10077,127,50,4,1,17,0
3963,22,13,2,1,0,0
5722,99,15,2,1,6,0
6331,23,14,2,1,0,0
2056,62,39,2,0,0,0
3625,51,8,1,0,4,0
4297,33,24,2,1,0,0
7131,65,24,2,0,4,0
10525,56,16,2,1,0,0
2815,48,14,3,0,4,0
7167,35,28,2,0,0,0
1075,72,39,5,0,4,4
9107,58,28,3,1,0,0
4746,38,29,2,1,0,0
8027,125,20,2,0,0,0
10224,22,15,2,0,0,0
6597,97,20,3,0,23,0
1160,40,14,3,0,0,0
3457,29,21,2,0,0,0
7173,86,33,1,0,0,0
2315,44,11,3,0,0,0
11327,52,18,2,1,0,0
6983,69,31,2,0,0,0
7838,23,16,1,0,0,0
1915,17,10,1,0,0,0
8271,35,26,2,1,0,0
9650,57,23,3,0,0,0
3685,84,47,4,0,10,0
4456,74,32,3,1,13,13
4893,41,13,2,1,2,2
8028,30,15,2,1,0,0
9752,27,19,2,0,0,0
7784,63,18,2,1,8,0
929,24,15,2,1,0,0
6628,19,11,1,0,0,0
5274,80,72,2,0,0,0
3808,32,24,2,0,0,0
10653,28,20,1,0,0,0
1913,34,26,4,0,0,0
4145,70,17,2,1,0,0
6078,123,26,2,1,7,0
1340,97,16,3,1,0,0
10909,77,13,2,0,0,0
8434,36,10,1,1,0,0
8804,22,15,2,0,2,2
5239,45,13,2,0,1,1
9399,29,20,3,1,0,0
7055,74,25,3,1,6,0
475,15,8,1,0,0,0
2080,19,11,2,0,0,0
842,73,15,2,0,18,0
6701,142,25,5,1,18,0
395,53,14,2,0,0,0
6191,61,13,1,0,5,0
5237,28,19,1,1,0,0
5896,27,18,2,1,0,0
4261,41,17,3,0,0,0
2483,30,23,2,0,3,3
514,409,25,3,0,83,8
4948,64,13,2,1,6,0
7974,18,7,1,0,0,0
7033,50,21,3,0,1,0
677,47,16,3,1,1,0
5750,152,14,4,0,19,0
9690,40,13,4,0,10,10
2779,50,10,3,0,4,0
1068,29,16,2,0,0,0
9202,38,20,3,1,0,0
1382,41,34,2,0,0,0
1150,18,11,2,0,0,0
3565,25,16,2,1,0,0
9775,50,17,3,0,0,0
9377,24,15,2,1,0,0
2088,33,11,1,1,0,0
3587,43,22,2,0,0,0
5033,47,20,2,0,0,0
643,22,13,2,1,3,3
7392,30,21,2,1,0,0
6111,40,26,3,0,0,0
694,66,11,3,0,6,0
6346,23,15,2,0,0,0
6255,76,15,2,1,0,0
9037,32,25,2,0,0,0
4227,36,19,2,1,0,0
1738,29,8,2,0,1,1
7645,71,17,2,0,3,0
903,51,15,3,1,0,0
7294,57,17,3,0,2,0
3531,104,28,4,0,23,0
1685,31,23,2,0,0,0
9748,31,16,2,0,0,0
8360,89,12,3,0,4,0
10279,67,11,3,1,0,0
8482,34,25,3,1,0,0
817,32,24,2,0,0,0
3120,131,54,5,0,21,0
6527,25,17,2,0,0,0
4093,52,17,2,0,0,0
5918,57,24,3,1,0,0
9580,44,15,1,0,0,0
1892,55,14,3,0,0,0
10361,69,16,4,0,1,0
3997,58,25,2,0,5,0
3506,51,21,1,0,0,0
8560,462,26,5,1,195,8
7595,54,16,2,1,4,2
2402,66,10,2,0,29,1
11223,25,18,2,0,0,0
3914,33,14,2,1,8,5
7588,48,17,2,1,0,0
8340,162,23,1,0,37,0
4978,68,18,1,0,7,0
5669,72,35,2,1,0,0
10517,32,23,3,1,0,0
10652,39,15,2,1,0,0
9065,45,36,4,1,4,4
9777,54,22,4,0,0,0
7702,48,20,2,1,0,0
9106,85,18,2,0,3,0
6439,34,25,2,1,0,0
8441,219,18,8,0,0,0
4136,46,27,2,1,0,0
10630,73,18,1,0,19,0
3095,50,12,2,0,0,0
7722,45,38,2,0,1,1
847,124,46,5,1,16,0
880,21,13,2,0,5,5
6147,29,20,2,1,0,0
4074,57,16,2,1,0,0
2729,48,39,2,1,0,0
2355,68,22,2,1,18,0
530,30,21,2,1,0,0
975,61,35,4,0,9,0
2254,68,42,4,0,7,0
3754,35,17,2,1,0,0
1360,49,12,1,0,6,0
9858,201,18,3,0,92,0
4279,34,25,2,1,0,0
3722,70,20,4,1,0,0
6760,25,17,2,0,0,0
5842,29,14,2,0,0,0
6458,82,16,2,1,6,0
7989,51,18,2,0,0,0
7905,81,49,5,1,17,17
10874,40,0,1,0,0,0
7957,77,26,3,0,0,0
5861,61,25,4,0,8,0
9867,54,18,3,1,6,0
10872,67,13,2,0,0,0
10644,19,12,2,0,0,0
3890,106,20,3,1,5,0
6345,21,8,1,0,5,2
3716,31,23,2,0,2,2
785,38,30,4,0,0,0
6836,100,25,3,0,1,0
5276,31,11,1,0,0,0
5900,40,13,4,0,10,10
9995,33,12,2,0,0,0
6536,25,17,2,0,0,0
886,53,26,2,0,0,0
10510,299,44,16,1,62,2
7348,165,21,4,0,54,0
6146,54,18,2,0,10,0
2791,19,10,2,1,0,0
1488,20,13,1,0,0,0
588,26,17,2,1,0,0
9771,60,19,1,0,2,0
1398,34,26,2,1,4,4
5618,81,27,1,0,2,0
9472,37,29,4,0,0,0
6491,60,23,3,0,6,0
2206,36,20,3,1,0,0
11101,62,14,2,0,0,0
10737,97,21,2,0,7,0
10891,64,39,5,0,1,1
7465,22,14,2,0,0,0
960,22,13,2,1,0,0
559,63,18,2,1,0,0
7017,153,41,4,1,2,0
11107,42,22,3,0,0,0
6970,43,13,3,0,0,0
6050,63,27,3,0,7,0
4833,50,37,2,1,1,0
1367,45,38,2,0,1,1
9242,41,34,2,0,0,0
10484,44,10,3,0,0,0
3005,73,13,1,1,0,0
510,76,31,3,1,7,0
876,28,19,2,1,0,0
7676,45,25,2,0,0,0
4099,58,22,2,0,2,0
1970,40,19,1,0,0,0
8653,121,37,4,0,19,0
4487,33,22,1,0,0,0
815,105,22,2,1,4,0
2426,48,20,3,1,6,0
2373,27,18,2,1,0,0
5201,45,21,2,0,0,0
596,59,41,4,0,3,3
162,33,15,2,1,0,0
8309,47,16,2,1,0,0
11427,105,16,2,1,15,0
9253,100,24,6,0,4,0
9079,23,10,1,0,2,0
2613,29,20,2,1,0,0
2271,84,10,2,1,5,0
5978,51,28,3,0,0,0
10938,54,14,3,0,11,11
578,66,17,2,1,0,0
4608,44,27,2,1,0,0
6633,50,16,3,0,1,0
8987,126,50,4,0,17,0
3106,59,27,3,1,0,0
4913,48,19,4,1,0,0
148,25,13,1,1,0,0
3117,30,21,2,1,0,0
5533,63,18,4,1,8,0
6642,46,13,1,1,1,0
2565,36,17,2,0,0,0
3116,39,21,2,0,3,3
