,status
10449,0
10063,1
6047,1
10606,0
2156,0
2033,1
3183,0
10061,0
6847,0
11204,0
5160,1
799,1
9103,1
5663,0
7618,0
3970,0
8238,1
4747,1
6749,0
3859,0
6502,0
3879,1
6619,1
7191,1
1589,1
10414,1
9423,1
1128,0
1639,1
335,1
3340,0
10957,0
718,0
2377,0
9334,0
4506,0
57,0
8760,0
8034,0
216,0
10659,0
6438,0
6989,0
605,1
9975,1
4476,0
7529,0
10472,1
9978,1
2851,0
11081,0
1941,0
7731,0
8740,1
8655,1
9984,1
4543,1
3335,0
1444,1
10069,0
5806,1
9882,0
343,0
1267,1
9616,1
962,1
8938,0
8570,1
3202,1
8384,0
2164,1
10095,1
2066,0
6477,1
8123,0
10147,1
6399,0
6062,1
6946,0
2078,1
9089,0
10216,1
2103,1
10116,1
9205,1
872,0
9765,0
3556,0
2629,0
10949,0
2945,1
11237,0
7347,0
7267,1
8795,0
9500,1
9729,0
11155,0
3123,1
9697,1
11005,1
10276,0
6372,1
6467,0
401,0
7308,0
4177,0
9691,0
7486,1
792,0
9156,0
10085,0
6645,0
6321,1
4269,1
8115,0
8018,0
8942,1
2472,1
74,1
3840,0
9761,1
9968,1
1260,1
2667,0
10943,1
6930,0
8235,0
6593,1
4771,1
4815,1
660,0
2014,0
3866,1
9545,1
73,1
3674,1
5938,0
4470,0
5163,0
2979,0
9039,0
4712,0
7203,0
6373,0
8136,0
6762,1
2952,1
1056,0
260,0
1643,0
7624,1
1492,1
7796,1
9897,0
9649,1
7476,1
3259,0
8775,0
380,1
9656,1
2644,0
3021,1
1336,1
11182,1
3849,1
10679,1
1649,1
9453,0
1021,0
8934,0
2239,1
11022,1
637,1
790,1
316,1
9932,0
2630,0
5935,1
176,1
10585,1
4113,1
10657,0
516,0
8106,0
10816,0
266,0
2368,1
9210,0
5517,0
9515,1
2269,1
617,1
6258,0
8042,1
7868,1
3667,1
4945,1
10698,1
4755,0
8371,0
2372,1
1004,1
1728,1
5416,1
11325,0
4813,0
7115,1
4621,1
1171,1
11380,0
10665,1
6660,1
6237,0
2313,0
5871,1
3884,0
4382,0
10331,0
9987,1
3943,0
3128,1
6049,0
5120,1
1194,1
7218,1
4063,1
4887,0
2023,1
6716,1
8620,0
7544,1
8659,0
10077,1
3963,0
5722,1
6331,0
2056,1
3625,0
4297,1
7131,0
10525,0
2815,0
7167,0
1075,1
9107,0
4746,0
8027,0
10224,0
6597,1
1160,0
3457,0
7173,0
2315,0
11327,0
6983,0
7838,0
1915,0
8271,0
9650,0
3685,1
4456,1
4893,0
8028,1
9752,0
7784,0
929,0
6628,1
5274,1
3808,0
10653,0
1913,1
4145,0
6078,1
1340,0
10909,1
8434,1
8804,0
5239,1
9399,0
7055,1
475,0
2080,0
842,1
6701,1
395,0
6191,0
5237,0
5896,0
4261,0
2483,1
514,1
4948,0
7974,1
7033,1
677,1
5750,1
9690,1
2779,0
1068,1
9202,0
1382,1
1150,0
3565,0
9775,0
9377,0
2088,0
3587,0
5033,0
643,1
7392,0
6111,1
694,1
6346,0
6255,0
9037,1
4227,1
1738,1
7645,1
903,0
7294,0
3531,1
1685,0
9748,0
8360,0
10279,1
8482,0
817,0
3120,1
6527,0
4093,1
5918,0
9580,0
1892,0
10361,1
3997,0
3506,0
8560,1
7595,1
2402,1
11223,0
3914,1
7588,1
8340,1
4978,1
5669,1
10517,0
10652,0
9065,1
9777,1
7702,0
9106,0
6439,0
8441,1
4136,0
10630,1
3095,0
7722,1
847,1
880,0
6147,0
4074,0
2729,1
2355,1
530,0
975,1
2254,1
3754,0
1360,1
9858,1
4279,0
3722,1
6760,0
5842,1
6458,1
7989,0
7905,1
10874,1
7957,1
5861,0
9867,0
10872,0
10644,0
3890,1
6345,1
3716,0
785,1
6836,1
5276,0
5900,1
9995,0
6536,0
886,0
10510,1
7348,1
6146,1
2791,0
1488,0
588,0
9771,0
1398,1
5618,0
9472,1
6491,0
2206,1
11101,1
10737,0
10891,1
7465,1
960,0
559,0
7017,1
11107,1
6970,1
6050,0
4833,1
1367,1
9242,1
10484,1
3005,0
510,1
876,0
7676,0
4099,1
1970,1
8653,1
4487,1
815,1
2426,0
2373,0
5201,0
596,1
162,0
8309,0
11427,0
9253,1
9079,1
2613,1
2271,0
5978,0
10938,1
578,0
4608,1
6633,1
8987,1
3106,1
4913,0
148,1
3117,1
5533,0
6642,0
2565,0
3116,0
2616,0
2422,0
4902,0
273,0
6486,0
4332,0
9830,1
169,1
294,1
8289,0
8785,1
8173,1
1117,1
3666,0
6028,0
4532,1
3220,1
10952,0
990,0
3037,0
1099,0
143,0
764,0
11418,1
9294,0
4363,0
2708,1
9793,0
5061,1
1183,0
471,0
9946,1
9560,1
11316,0
3647,0
851,0
2878,0
8697,1
11283,0
9487,1
7299,0
2065,1
7321,1
5381,0
6470,1
3104,0
11171,0
4965,1
10769,1
5490,0
1468,1
4222,1
9207,0
3194,1
633,1
5141,1
3833,0
1822,1
3089,1
6534,0
983,1
9342,1
1658,0
6848,1
8991,1
5572,1
4348,1
7064,0
269,0
3041,1
773,1
4821,0
3131,0
9140,0
3373,1
1116,1
8758,1
4215,1
2595,0
9374,0
11281,0
1677,1
7427,0
10345,1
196,1
7250,1
9034,1
3535,0
205,0
9452,1
10288,0
1848,1
1656,1
6842,1
8698,1
4014,0
2796,1
8831,1
2294,0
7539,1
6677,1
9722,0
652,0
9760,0
1754,1
4967,1
1498,1
8195,0
9308,0
1667,1
8436,0
4778,1
7621,1
1793,0
11056,1
6876,0
844,0
6793,1
4693,1
10237,1
5068,1
1327,1
2770,0
2354,1
1191,1
8869,1
1890,0
6099,1
1377,1
4358,0
2542,1
6596,0
7569,1
850,1
10351,0
8710,1
61,1
10404,1
3069,0
9782,0
8134,1
334,0
5028,0
2263,1
9870,0
2186,1
551,1
7748,0
6032,1
10050,1
5592,0
1806,0
9291,0
8784,1
2614,1
11136,1
5867,1
1198,1
10218,0
1104,1
11336,1
293,0
1543,1
1264,0
86,0
830,0
10191,1
1926,0
8457,0
1853,0
8411,0
2686,0
9490,1
5090,0
10714,0
2406,0
1946,1
9135,0
809,0
2942,0
9827,0
10864,0
10305,1
9372,0
5389,1
3697,1
8948,0
10726,0
520,1
3703,1
1041,1
868,1
7558,1
7901,1
11130,0
6260,0
2054,1
7813,0
10057,0
5711,1
6404,1
10206,0
3906,0
6206,1
7454,1
8242,1
5271,1
9349,0
4024,1
5196,0
3481,1
7500,1
287,1
4920,1
4047,0
861,1
1620,1
9535,1
10161,0
7159,0
7363,1
11001,1
1318,0
10002,0
3101,0
9776,1
9461,0
6799,0
10542,0
1252,1
1001,1
11212,1
2989,0
8819,1
8186,1
6231,0
9224,1
1504,0
735,0
3581,1
3698,1
8328,1
1880,0
6169,1
5002,0
1493,0
10729,0
4174,0
8178,1
8817,0
4182,0
10725,0
1668,1
2142,1
651,0
7217,0
4977,0
4402,0
4327,0
4807,0
6235,1
4783,0
3177,0
4390,1
1097,0
3728,1
4900,1
5481,0
8533,1
10641,0
2547,1
10888,0
6788,0
779,0
4488,1
3371,0
1346,0
10328,0
7972,1
10070,1
10565,1
3632,0
5338,0
4433,1
7182,1
9477,1
9715,1
2695,0
7654,1
10609,1
2575,0
8955,1
6010,0
10202,1
513,1
6927,0
11340,0
7816,1
7604,1
3474,1
2439,0
8998,0
1284,0
1282,1
7928,0
7216,0
5591,0
6562,0
10295,0
5318,1
6355,1
2853,0
3289,1
3758,0
5253,1
7511,0
1938,1
909,1
5040,1
1948,1
6563,1
4289,0
9533,0
10253,0
10547,1
9954,0
3385,1
565,0
10743,0
1413,0
8023,0
9191,1
10753,1
3939,1
6707,1
1618,0
6583,0
6077,0
3537,1
225,0
11200,1
7451,0
8418,1
7382,0
3308,1
1015,1
4946,1
9122,0
9264,1
4607,1
1197,1
10401,0
10634,1
2536,0
285,0
11140,1
7674,0
10842,0
2665,0
3942,1
5195,0
2383,1
7759,0
1846,0
4463,0
1801,1
4861,1
2949,0
8597,0
11068,0
9094,0
7122,0
8603,1
8361,0
5486,1
1956,0
4340,0
9494,0
2348,1
3935,0
5077,0
1838,0
8565,0
8508,1
11070,1
6359,0
10368,0
4754,0
8259,1
4369,0
5361,1
9074,0
7355,0
6934,0
3165,0
6638,0
9669,1
39,0
7616,1
9939,1
10561,0
3794,0
11250,0
3381,1
2303,1
9985,1
5723,0
6908,0
56,1
1141,0
738,0
5016,1
1619,0
9841,1
455,0
581,0
4930,1
2609,1
7387,1
2881,0
4610,1
9924,1
2236,0
4354,1
4260,0
7001,0
1012,1
3441,1
6579,1
4629,0
2281,0
3885,1
4903,0
5394,1
6846,0
3462,0
4267,0
8856,1
5534,1
10059,1
1470,1
4428,1
8654,0
1304,0
5111,1
5054,1
9407,0
7637,1
9320,1
2338,0
2583,1
6588,0
3160,0
5264,1
6086,0
10613,0
10770,0
4243,1
10779,0
1778,0
1212,1
6925,0
6106,0
7670,1
4672,1
262,1
4335,1
3087,0
6449,0
5382,0
3574,1
8598,0
895,1
4856,0
8979,1
7899,1
130,1
10235,0
2075,1
5515,0
1630,1
5154,0
4291,0
801,1
6195,0
2773,1
3790,1
10836,1
7143,0
2715,1
730,1
9424,0
8181,1
4359,0
10662,0
4534,1
3761,0
4923,1
3222,0
522,1
11403,1
9348,1
11103,1
9818,0
8253,1
1312,0
10179,1
8645,0
7864,1
96,0
10602,0
8046,0
2930,0
4686,0
6310,1
11112,0
9360,1
5762,0
8650,0
8671,1
1844,0
10672,0
5735,1
1273,1
9583,0
9812,0
10142,1
3660,0
7052,0
2986,0
11063,1
179,1
10047,0
2074,0
2155,0
1281,1
6272,1
3614,0
8973,1
7691,0
2946,1
7840,0
2062,1
3637,0
6379,1
10649,1
163,1
1602,1
2466,1
11417,0
278,0
6504,0
5834,1
5198,1
3624,0
11222,0
1783,0
4976,1
10797,0
3947,0
2521,1
9013,1
6112,1
2258,0
1297,0
408,1
3397,0
11285,1
870,0
9590,0
6917,0
5458,1
10232,0
838,0
6421,1
347,0
9527,1
3870,1
5025,1
10203,1
1689,0
8667,1
5031,1
10911,1
4226,1
4288,0
83,0
4615,1
7665,1
8299,1
3795,0
4321,1
6337,1
10953,1
5137,0
9085,0
6541,0
2194,1
3740,0
968,1
2017,0
4158,0
36,1
3152,0
6484,0
4940,0
5668,0
4474,0
11045,1
5086,1
9521,0
3995,0
10596,0
5332,0
10442,0
6218,0
4457,1
831,0
6537,1
1791,1
6872,1
8399,0
243,0
4149,1
2366,1
8594,1
9100,1
3197,0
10682,0
2685,0
871,0
6906,1
1980,1
6083,0
4366,0
8662,1
6283,0
4933,1
10579,0
2934,0
7156,1
1823,0
538,1
2594,1
6293,0
1654,0
3782,1
6509,0
6939,1
2397,0
4423,0
4510,1
1900,1
1812,0
245,1
5118,0
92,0
11029,0
5970,1
3100,0
10529,0
6655,0
7165,1
1967,0
2447,0
10719,1
10855,0
5647,1
8649,1
5354,1
1571,0
6079,0
8363,1
8351,0
1792,1
7923,1
9027,1
10792,1
9770,1
6186,1
4880,1
5594,1
8621,1
10125,0
8415,0
8630,1
5943,0
8304,0
2486,1
5727,1
11073,0
2889,0
4587,1
2639,1
10999,0
10383,1
10133,1
947,0
10942,0
6267,0
2474,0
1573,1
3880,1
9564,1
1161,1
4322,0
8407,0
3742,1
6829,1
6792,1
8053,1
11299,1
7066,1
6408,1
8016,0
5928,0
2049,1
3428,0
4953,1
6656,1
10411,1
5377,0
2405,0
11058,1
6665,0
7865,1
10170,1
10618,0
4331,0
955,0
6064,0
3370,1
4333,0
4129,0
9469,1
9383,0
7278,0
8467,0
611,1
2126,1
4918,1
7724,0
10968,0
6436,0
11363,1
3296,1
4733,0
4633,0
7968,0
2414,1
6210,1
386,0
6087,0
10670,1
8247,1
7954,0
9675,1
8774,1
594,1
10527,0
2077,1
4709,1
3396,1
5710,0
4873,0
9559,0
2551,0
5778,0
8044,0
6767,1
1622,1
5571,1
11046,1
2427,0
8422,0
4401,1
9505,1
3733,0
6613,1
2516,1
7190,1
10340,0
5737,1
2182,0
4564,0
9054,1
3523,1
5421,1
1259,1
7430,0
4070,0
263,0
5272,1
1632,1
606,0
4094,1
8709,0
5968,0
91,1
1350,0
3540,0
3472,0
9820,0
9198,0
8581,1
7412,1
853,1
2346,1
8228,0
3050,0
5506,0
9565,0
10054,0
10798,0
9337,0
5280,1
2900,0
4968,1
2632,0
10149,0
11312,1
3919,1
624,0
4952,1
2431,0
6928,1
5422,1
4263,0
3874,0
1305,0
11270,0
7043,0
8443,1
3196,1
970,0
1777,0
101,1
5103,0
11185,1
9755,0
11085,0
4546,0
5556,1
10141,0
3699,0
8131,0
5840,1
888,0
4614,0
6123,0
8968,1
8842,0
1236,1
716,1
10661,1
2138,1
8970,1
4779,1
4060,1
7745,1
4185,0
9917,1
6634,0
7394,0
10097,0
9522,0
858,0
8058,0
10994,0
4015,1
10989,0
9095,1
10483,0
832,1
414,0
8741,0
4453,1
6460,1
11007,1
407,1
8935,0
580,0
5792,0
2717,1
5461,0
9962,1
8894,1
10428,0
1722,1
10391,1
7028,0
854,0
8208,0
6380,0
5497,0
4879,1
5557,1
3584,0
213,1
7210,1
1679,1
478,1
7197,0
5489,1
5631,1
6207,1
5527,0
7566,0
5952,0
7823,1
1415,1
7379,1
8383,0
1959,1
2736,0
6600,0
2382,1
9040,1
10259,1
9922,0
7189,0
9459,0
3748,1
8536,0
3322,0
6582,1
9620,0
4115,1
5411,0
9227,0
2136,0
7516,0
3355,0
6492,1
8918,1
4415,1
8297,0
8466,1
7491,0
10287,0
2245,1
1898,0
5818,1
534,0
2940,0
5044,1
2318,0
1924,0
2290,1
10134,1
3478,1
7366,1
9460,0
2003,1
1111,0
6931,1
4891,0
5024,0
7354,1
2458,1
2939,1
10636,1
2485,1
8800,0
9394,0
4069,0
5635,1
3445,1
4740,1
8295,1
5136,1
2101,0
6748,0
11209,1
3509,1
3544,0
2488,0
203,0
2869,1
457,0
3750,0
1142,0
2115,1
11372,0
2582,0
1363,0
6167,0
7296,1
3511,1
7495,1
127,1
5371,0
4032,0
7327,1
8928,1
9403,0
552,1
9504,1
137,1
3257,1
7733,1
8611,1
3664,1
3233,1
2309,1
10434,0
10833,1
7401,0
4530,0
8644,0
11311,0
5576,1
1539,1
3384,0
2567,0
3992,1
2581,1
7762,0
7898,0
5508,0
2912,0
2766,1
1606,1
3959,1
2841,0
5052,0
10397,0
5129,0
9540,0
4253,1
10973,0
6990,0
2561,0
2244,0
2864,0
8417,1
4560,1
10214,1
11160,0
6632,1
5530,0
10847,0
1065,1
5734,0
8063,0
4529,1
3711,1
3247,1
10604,0
4395,1
6612,1
9578,0
404,0
3145,1
8845,1
8114,1
2404,0
1858,1
11048,0
4982,0
7088,0
1718,1
5899,0
3650,1
3218,1
3477,0
11354,1
4403,0
3688,0
6007,1
10849,0
3858,1
10458,0
3910,1
913,0
5569,0
8545,1
10140,0
2268,1
462,1
2836,1
5425,1
9941,1
351,0
996,0
6471,1
8986,0
3401,1
2053,0
9115,1
3873,1
4221,0
10148,1
6942,1
6134,0
7720,1
4225,1
8520,1
9356,0
10790,0
2362,1
11176,0
8666,0
9104,1
3053,1
1820,1
5672,1
4984,0
8913,0
9724,0
80,1
10639,1
9295,1
8320,0
10535,0
3500,0
4417,1
2297,0
11158,0
4468,1
6713,1
6624,1
670,1
5898,1
8112,1
7798,1
9117,0
5707,0
704,0
11124,0
5496,0
664,1
6590,0
7543,1
6911,0
2219,1
4035,0
6834,0
8799,0
10580,1
2703,1
3224,0
2742,0
9132,1
729,0
4413,1
3802,1
254,0
3017,0
4001,0
1775,0
7792,0
2357,0
10322,1
6385,0
10172,0
4098,1
3988,0
9165,1
9046,1
1776,1
8321,0
5892,1
2922,1
5030,0
6182,0
7364,1
6020,1
377,0
3928,0
10245,1
2537,0
1347,1
4509,1
3657,0
8923,0
7385,0
6193,0
3039,1
10302,0
2967,0
8362,1
9109,0
6736,0
8154,1
9988,1
3365,0
5565,1
4972,1
5100,1
8552,0
8188,0
6712,1
9442,1
6985,1
6530,0
3173,1
4277,1
1985,0
3536,1
9412,1
2867,1
3751,1
1332,0
1457,0
1054,0
9235,1
5923,0
9953,0
687,0
5232,1
9563,1
8770,0
10456,0
10939,0
2723,1
8531,0
10493,1
11337,0
1814,1
10264,0
3140,0
3006,0
9785,1
290,0
9170,1
1181,1
4295,1
10624,0
10101,0
2894,0
3518,0
10599,0
1720,0
9886,0
10693,1
8149,0
10796,1
9305,0
683,1
231,1
10996,0
1211,0
2872,0
1759,1
8314,1
1240,1
10752,0
8367,0
6107,1
9112,1
6745,0
3927,0
3258,1
3633,1
9006,0
353,1
3822,0
6317,0
8809,0
10955,0
1040,0
10826,0
4848,0
9577,0
10777,1
4345,1
7067,1
1287,0
548,1
1610,0
3670,1
3132,1
4571,0
3990,1
10482,1
9937,0
2624,0
9266,1
9368,1
5464,1
5502,1
8805,1
4050,1
11243,0
7906,1
3895,1
6294,1
8750,0
2106,0
2293,0
9163,0
5440,1
5042,0
2737,0
6516,1
1105,0
11394,1
1289,1
6560,1
7410,1
8518,1
6336,1
7927,0
1144,0
7946,1
6242,0
10317,1
4367,0
3066,0
6935,1
6961,1
1713,1
10754,1
1055,1
8179,0
8705,0
7817,1
9350,1
2555,0
6781,0
688,0
7204,0
8125,1
1098,0
2433,0
10834,1
1837,1
3598,1
9204,1
9060,1
3226,1
2562,1
6648,1
9819,0
4681,0
8751,1
10508,0
980,1
8026,1
7970,1
3791,0
739,0
4080,1
8532,0
11065,0
6008,0
1221,0
3353,0
8818,1
6547,0
3024,0
5990,0
1737,0
3466,1
2124,0
5465,0
4000,0
3920,0
8541,0
3461,0
7795,0
4866,0
10991,1
8608,0
9225,1
6611,1
1507,1
9240,0
7127,0
5813,1
3864,0
11345,1
5292,1
1716,0
2191,0
1400,0
3945,0
1756,0
1955,0
5858,1
2094,1
9381,1
2837,0
7473,1
5059,0
567,1
1403,1
6199,1
1865,1
1263,0
10099,1
5955,1
6161,1
4637,0
927,0
10886,0
3013,0
4511,0
10871,1
1624,0
370,0
4473,0
5548,1
6986,1
4870,1
7365,0
10616,1
4003,1
5726,0
8078,0
11006,0
3643,0
8835,1
5302,1
10708,1
6281,1
3288,1
10921,1
9216,1
11302,0
9633,1
4276,0
5179,0
1810,1
469,0
6395,1
5001,0
2221,0
6348,0
4639,0
121,1
6160,1
740,1
3200,0
1349,0
5130,0
8908,1
4782,1
5897,1
6101,1
2057,1
3977,0
2100,0
5538,0
9896,0
3047,1
2093,1
6002,0
10332,1
7375,1
10518,0
1887,0
3072,1
337,1
9192,0
8332,1
7573,1
6222,0
9874,0
1903,0
3063,1
3798,0
4204,0
4776,1
959,0
5936,1
10595,1
9744,0
4422,1
5642,0
5519,1
1486,1
5758,1
208,1
2643,1
6226,1
7246,1
10972,1
6798,1
10367,0
9463,0
9604,1
7546,1
9859,0
8152,0
3215,0
4582,0
4884,1
7619,1
9478,1
1423,0
4646,0
7988,0
9964,0
5291,0
2170,0
6461,0
10773,1
5032,1
5247,1
4334,0
7844,1
3380,0
9813,0
3496,0
10062,0
6056,1
5525,1
1401,1
6339,1
8097,1
9331,0
28,1
11231,0
3907,1
7424,0
9555,0
368,1
6011,1
658,1
8248,1
8779,1
5728,1
11201,0
4939,0
4919,1
340,1
2183,0
7629,1
4597,0
10178,0
8983,0
1984,1
7701,0
199,0
11409,0
10917,1
6318,0
9486,0
4799,1
8311,0
1673,1
1847,0
6722,0
1066,0
2161,1
837,1
4011,0
4569,1
7744,1
5468,0
10605,1
1919,1
198,0
5023,1
7723,1
9853,1
490,0
9579,1
9220,1
682,0
11272,1
8266,0
7174,1
7233,1
9005,1
9053,0
5640,0
5654,1
10963,0
9092,1
5886,0
8813,1
8233,1
5162,0
2548,0
751,1
1897,1
3398,1
8052,0
575,1
9963,0
6899,1
2475,1
9187,1
6257,1
997,1
6026,0
2286,0
8041,1
4117,0
7079,0
727,1
2755,1
10209,0
7527,1
280,1
8896,0
8507,0
5150,0
10498,1
6587,0
9212,1
4262,1
9617,1
2902,0
10200,1
9955,1
8086,0
3179,0
10021,0
9936,1
4705,0
10107,1
6855,0
3801,1
4337,0
2370,0
8880,1
9138,0
8025,0
8282,0
10460,0
3109,1
135,0
3271,0
3146,0
2525,0
7514,0
242,0
5870,0
8726,1
4934,0
2983,0
11367,1
2706,1
2787,1
5573,0
4595,0
5380,1
3354,0
2506,0
5143,0
2253,1
626,1
6144,0
1864,0
5975,1
10146,0
4831,1
2804,0
9640,1
1973,0
9088,0
1082,1
5307,0
3983,0
6538,1
2208,0
8708,1
6804,1
5749,1
9223,0
5419,0
10821,0
4698,0
2767,1
8738,1
3372,1
9409,0
10569,1
3862,0
425,1
1272,0
5217,0
9591,0
8252,1
11013,0
133,0
5670,1
7683,1
2928,1
3149,1
10445,0
399,1
4342,0
10479,1
1028,0
10931,0
8971,1
5210,1
10524,0
5926,0
8864,1
921,1
7684,0
686,0
2008,1
1025,0
10294,0
8877,1
752,1
1917,0
7142,0
6644,1
2022,1
1757,1
1196,1
2868,0
5905,1
6729,1
8401,0
5185,0
1,1
3262,1
10023,0
5352,0
2566,0
4906,1
391,0
9274,0
2401,0
387,1
2712,0
6780,1
5680,0
2935,1
3743,1
9190,0
10381,0
11412,0
10681,1
2454,1
6126,0
3661,1
6623,0
4839,0
4285,0
7632,0
5300,1
6668,0
10390,1
8290,1
1736,1
9002,1
11082,0
9876,1
9236,1
1516,1
734,0
9030,0
3094,0
5595,0
63,0
9077,0
932,1
4613,1
10789,1
814,0
9391,0
6540,0
2116,0
3266,1
5444,0
4303,0
9244,1
4606,1
4356,0
5214,0
4116,0
4419,0
9836,1
5152,0
1058,1
1536,1
3416,1
9502,1
7839,0
6778,1
4173,0
3599,0
8021,1
5781,1
2801,0
4051,1
10745,1
9970,1
10212,1
65,1
10954,0
6129,1
9052,0
1635,1
2394,0
9686,1
1325,1
11098,0
5438,1
5540,1
4928,0
6995,1
1062,1
1540,0
2450,0
6208,0
328,1
1700,0
5269,0
2799,0
11039,0
6053,1
8490,1
3435,1
8174,0
10924,1
3265,0
2428,1
10439,1
7389,0
818,0
10882,0
2477,0
6052,0
284,0
6937,0
8160,0
7293,1
8678,0
8729,0
10129,0
8685,1
11292,0
3046,1
1269,1
11386,0
6329,0
99,1
8342,0
6368,1
10443,1
10962,0
44,0
5326,0
7325,0
1271,0
128,1
6422,1
982,0
7338,1
1238,1
8712,1
5093,1
4191,1
8014,0
3521,0
4186,0
2071,0
435,0
9634,0
9602,0
6947,1
1747,0
987,1
3361,1
8068,1
2146,1
1335,0
941,1
2387,1
6577,0
7446,1
5988,1
5066,1
8744,1
5275,1
2332,0
6924,0
7441,0
5407,0
9595,0
5561,1
810,0
11353,0
6347,0
4924,0
5859,0
3048,0
117,0
8124,0
4911,0
5947,0
289,1
9779,0
5082,1
10503,0
11265,0
7980,0
4808,1
3605,0
3230,0
8922,1
768,0
8327,0
6391,1
5435,1
1228,0
4085,1
6017,0
6721,1
7810,1
2321,1
6866,1
1629,0
8137,0
